"Date submitted";"Identification";"Please enter your Firm's Name";"Kindly enter firm's POC email address";"Kindly enter firm's POC mobile number";"Please upload an excel sheet (.xlxs) with details of personnel desirous of attending - Interactive Session I, Interactive Session II and Plenary Session. ""THESE NOMINATIONS SHOULD BE IN ADDITION TO THE PERSONNEL NOMINATED TO MAN STALLS DURING EXHIBITION"". The 'columns' of excel should be - Sl no, Name, Aadhar Card No, Mobile no and Session attending (Name of sessions - 1 or all 3)"
"14/11/2025, 11:05";"UtCZL9oEmLW8r1qlTFJF";"Technica Fiber Tech";"ankush@technicafiber.com";"011-41054096";"https://tripetto.app/attachment/7eb5e9492e1b773c75d8074cbd26fa8ee21fb52cf62d7c81cabe42a3c1c2ecea?filename=Technica%20Fiber%20Tech%20Pvt%20Ltd.xlsx"
"14/11/2025, 09:26";"kkVUEWsjOabPDUGyfvwH";"Chipspirit Technologies Pvt Ltd";"marketing@chipspirit.com";"7204689294";"https://tripetto.app/attachment/3139f2f8fb34672100820e85c667a7e82382d8892f134b0f0a55e1c604384425?filename=Chipspirit%20Attendees%20for%20Swavlamban%202025%20seminars.xlsx"
"14/11/2025, 06:22";"mZTkCCqK8iuYHzLtYhJr";"Crimson energy experts Pvt Ltd";"niladribose@crimsonenergy.in";"8527462323";
"13/11/2025, 22:43";"SKMeeXhDTbBhBHdB0YAq";"QNu Labs";"abhishek.singh@qnulabs.com";"9408895601";"https://tripetto.app/attachment/910d3c53298a55905336d2f59d3e1c84ccef9ff1eda67b252b5629012d1c43dc?filename=QNu%20Labs%20Reps%20For%20Swavlamban.xlsx"
"13/11/2025, 11:08";"vyJO9fEuuFMJTwDniQ58";"Technica Fiber Tech Pvt Ltd";"dhruv@technicafiber.com";"+919650057555";"https://tripetto.app/attachment/4f3a5d678164f796b32b03a534d09e53110a90a18121788f6a7c6a95ec45cb76?filename=Swalambham%20attendees%20Technica%20Fiber%20Tech.xlsx"
"13/11/2025, 07:31";"Rt76CTHzwC90ZgvNMqol";"Carbon Light Private Limited";"arpit@carbonlight.co.in";"8586820584";"https://tripetto.app/attachment/4785ab561d4cf9626338ac481c70f695005f486990385f254fc7d77645930e39?filename=Swavlamban%20Seminar%20Participants%20-%20Carbon%20Light..xlsx"
"13/11/2025, 06:27";"CIZcIHKhCTIBxW50viCf";"Euler Autonomous System";"ashish.tandon@euleras.com";"+917506260733";"https://tripetto.app/attachment/c9413a525fb4c4aeba22568b616f9c3f7c87ae6fab1eebdca6681f679103882c?filename=Event%20list.xlsx"
"13/11/2025, 06:11";"7iKmRy5n9T37r0C3a4MP";"AGB Solutions";"agbsolutionspvtltd@gmail.com";"+919432268088";"https://tripetto.app/attachment/50eedf391b65e54d9f1462cea7a46770e66d5352ac2b47c7031764bc84373e6e?filename=Navy.xlsx"
"13/11/2025, 05:22";"Jt2eviD0v7TtzBYwuJWk";"medjay technologies";"aparajita@medjaytechnologies.in";"+91 9573288965";"https://tripetto.app/attachment/e547c3c2f0716145084c66fe86668d5dae81493bcfb19bcb902928387d9fe972?filename=seminar%20registration-medjay.xlsx"
"13/11/2025, 01:15";"DmaaGeZrBoDY09nXSHSB";"EGREEN QUANTA";"director@egreenquanta.com";"+917042831138";"https://tripetto.app/attachment/7555f39e082859b1084838081c351042e71b038ce8d487bbc9eb6640e8a4b3ec?filename=Egreen%20Quanta_Person%20Details.xlsx"
